"","long","lat","freq","hour"
"1898",121.582859714,31.2337351071,1858,7
"1899",121.593783143,31.2337351071,1353,7
"1900",121.604706571,31.2337351071,1844,7
"1901",121.61563,31.2337351071,622,7
"1902",121.626553429,31.2337351071,663,7
"1903",121.637476857,31.2337351071,2039,7
"1904",121.648400286,31.2337351071,1304,7
"1905",121.353467714,31.2427314643,11055,7
"1906",121.364391143,31.2427314643,7882,7
"1907",121.375314571,31.2427314643,5482,7
"1908",121.386238,31.2427314643,12159,7
"1909",121.397161429,31.2427314643,36280,7
"1910",121.408084857,31.2427314643,37141,7
"1911",121.419008286,31.2427314643,41222,7
"1912",121.429931714,31.2427314643,29934,7
"1913",121.440855143,31.2427314643,32714,7
"1914",121.451778571,31.2427314643,24311,7
"1915",121.462702,31.2427314643,36641,7
"1916",121.473625429,31.2427314643,38213,7
"1917",121.484548857,31.2427314643,23051,7
"1918",121.495472286,31.2427314643,5717,7
"1919",121.506395714,31.2427314643,6107,7
"1920",121.517319143,31.2427314643,13600,7
"1921",121.528242571,31.2427314643,5318,7
"1922",121.539166,31.2427314643,8807,7
"1923",121.550089429,31.2427314643,9133,7
"1924",121.561012857,31.2427314643,9750,7
"1925",121.571936286,31.2427314643,7058,7
"1926",121.582859714,31.2427314643,5110,7
"1927",121.593783143,31.2427314643,2608,7
"1928",121.604706571,31.2427314643,870,7
"1929",121.61563,31.2427314643,1242,7
"1930",121.626553429,31.2427314643,1512,7
"1931",121.637476857,31.2427314643,2121,7
"1932",121.648400286,31.2427314643,398,7
"1933",121.353467714,31.2517278214,13551,7
"1934",121.364391143,31.2517278214,15800,7
"1935",121.375314571,31.2517278214,22093,7
"1936",121.386238,31.2517278214,20405,7
"1937",121.397161429,31.2517278214,32976,7
"1938",121.408084857,31.2517278214,30309,7
"1939",121.419008286,31.2517278214,24277,7
"1940",121.429931714,31.2517278214,29100,7
"1941",121.440855143,31.2517278214,34059,7
"1942",121.451778571,31.2517278214,33408,7
"1943",121.462702,31.2517278214,36596,7
"1944",121.473625429,31.2517278214,44113,7
"1945",121.484548857,31.2517278214,31136,7
"1946",121.495472286,31.2517278214,15475,7
"1947",121.506395714,31.2517278214,11786,7
"1948",121.517319143,31.2517278214,10903,7
"1949",121.528242571,31.2517278214,5055,7
"1950",121.539166,31.2517278214,3338,7
"1951",121.550089429,31.2517278214,8478,7
"1952",121.561012857,31.2517278214,8324,7
"1953",121.571936286,31.2517278214,10500,7
"1954",121.582859714,31.2517278214,11655,7
"1955",121.593783143,31.2517278214,2908,7
"1956",121.604706571,31.2517278214,2075,7
"1957",121.61563,31.2517278214,1032,7
"1958",121.626553429,31.2517278214,437,7
"1959",121.637476857,31.2517278214,470,7
"1960",121.648400286,31.2517278214,779,7
"1961",121.353467714,31.2607241786,8976,7
"1962",121.364391143,31.2607241786,15002,7
"1963",121.375314571,31.2607241786,21363,7
"1964",121.386238,31.2607241786,22284,7
"1965",121.397161429,31.2607241786,26020,7
"1966",121.408084857,31.2607241786,16554,7
"1967",121.419008286,31.2607241786,25646,7
"1968",121.429931714,31.2607241786,24485,7
"1969",121.440855143,31.2607241786,40307,7
"1970",121.451778571,31.2607241786,27505,7
"1971",121.462702,31.2607241786,38906,7
"1972",121.473625429,31.2607241786,31928,7
"1973",121.484548857,31.2607241786,33974,7
"1974",121.495472286,31.2607241786,31152,7
"1975",121.506395714,31.2607241786,26006,7
"1976",121.517319143,31.2607241786,23543,7
"1977",121.528242571,31.2607241786,22023,7
"1978",121.539166,31.2607241786,7435,7
"1979",121.550089429,31.2607241786,2005,7
"1980",121.561012857,31.2607241786,6282,7
"1981",121.571936286,31.2607241786,7416,7
"1982",121.582859714,31.2607241786,9730,7
"1983",121.593783143,31.2607241786,6235,7
"1984",121.604706571,31.2607241786,4036,7
"1985",121.61563,31.2607241786,2856,7
"1986",121.626553429,31.2607241786,1746,7
"1987",121.637476857,31.2607241786,2914,7
"1988",121.648400286,31.2607241786,1939,7
"1989",121.353467714,31.2697205357,3356,7
"1990",121.364391143,31.2697205357,6243,7
"1991",121.375314571,31.2697205357,5574,7
"1992",121.386238,31.2697205357,22057,7
"1993",121.397161429,31.2697205357,20691,7
"1994",121.408084857,31.2697205357,20693,7
"1995",121.419008286,31.2697205357,27728,7
